Population_ID,Pop,City,Plant ,Lat,Long,Distance,Urban,Trial,Danaus,Rhysomatus,Aphis_nerii,Myzocallis,Euchaetes,Lygaeus,Oncopeltus,Tetraopes,Liriomyza
AS036,36,Toronto,1,43.371308,-79.981819,35.98,rural,Early,1,0,0,0,0,0,0,0,0
AS036,36,Toronto,2,43.371308,-79.981819,35.98,rural,Early,1,0,0,0,0,0,0,0,0
AS036,36,Toronto,3,43.371308,-79.981819,35.98,rural,Early,0,0,0,0,0,0,0,0,0
AS036,36,Toronto,4,43.371308,-79.981819,35.98,rural,Early,1,0,0,0,0,0,0,0,0
AS036,36,Toronto,5,43.371308,-79.981819,35.98,rural,Early,0,0,0,0,0,0,0,0,0
AS036,36,Toronto,1,43.371308,-79.981819,35.98,rural,Early,0,0,0,0,0,0,0,0,2
AS036,36,Toronto,2,43.371308,-79.981819,35.98,rural,Early,0,0,0,0,0,0,0,1,0
AS036,36,Toronto,3,43.371308,-79.981819,35.98,rural,Early,1,0,0,0,0,0,0,0,0
AS036,36,Toronto,4,43.371308,-79.981819,35.98,rural,Early,0,0,0,0,0,0,0,0,0
AS036,36,Toronto,5,43.371308,-79.981819,35.98,rural,Early,0,0,0,0,0,0,0,0,0
AS036,36,Toronto,1,43.371308,-79.981819,35.98,rural,Late,1,0,0,0,0,0,0,0,0
AS036,36,Toronto,2,43.371308,-79.981819,35.98,rural,Late,1,0,0,0,0,0,0,0,0
AS036,36,Toronto,3,43.371308,-79.981819,35.98,rural,Late,3,0,0,0,0,0,0,0,0
AS036,36,Toronto,4,43.371308,-79.981819,35.98,rural,Late,1,0,0,0,0,0,0,0,0
AS036,36,Toronto,5,43.371308,-79.981819,35.98,rural,Late,1,0,0,0,1,0,0,0,0
AS037,37,Toronto,1,43.363349,-80.01471,37.66,rural,Early,10,0,0,0,0,0,0,0,0
AS037,37,Toronto,2,43.363349,-80.01471,37.66,rural,Early,0,0,0,0,0,0,0,0,0
AS037,37,Toronto,1,43.363349,-80.01471,37.66,rural,Late,2,0,0,0,0,0,0,0,0
AS037,37,Toronto,2,43.363349,-80.01471,37.66,rural,Late,0,0,0,0,0,0,0,0,0
AS037,37,Toronto,3,43.363349,-80.01471,37.66,rural,Late,0,0,0,0,0,0,0,0,0
AS037,37,Toronto,4,43.363349,-80.01471,37.66,rural,Late,1,0,0,0,0,0,0,0,0
AS039,39,Toronto,1,43.719453,-79.445163,5.42,urban,Early,0,0,0,0,0,0,0,0,0
AS039,39,Toronto,2,43.719453,-79.445163,5.42,urban,Early,0,0,0,0,0,0,0,0,0
AS039,39,Toronto,3,43.719453,-79.445163,5.42,urban,Early,0,0,0,0,0,0,0,0,0
AS039,39,Toronto,4,43.719453,-79.445163,5.42,urban,Early,0,0,0,0,0,0,0,0,0
AS039,39,Toronto,5,43.719453,-79.445163,5.42,urban,Early,0,0,0,0,0,0,0,0,3
AS039,39,Toronto,1,43.719453,-79.445163,5.42,urban,Late,0,0,0,0,0,0,0,0,4
AS039,39,Toronto,2,43.719453,-79.445163,5.42,urban,Late,0,0,0,0,0,0,0,0,1
AS039,39,Toronto,3,43.719453,-79.445163,5.42,urban,Late,0,0,0,0,0,0,0,0,6
AS039,39,Toronto,4,43.719453,-79.445163,5.42,urban,Late,0,0,0,0,0,0,0,0,7
AS039,39,Toronto,5,43.719453,-79.445163,5.42,urban,Late,0,0,0,0,0,0,0,0,5
AS040,40,Toronto,1,43.726466,-79.445593,5.82,urban,Early,2,0,0,0,0,0,0,0,0
AS040,40,Toronto,2,43.726466,-79.445593,5.82,urban,Early,0,0,0,0,0,0,0,0,0
AS040,40,Toronto,3,43.726466,-79.445593,5.82,urban,Early,1,0,0,0,0,0,0,0,0
AS040,40,Toronto,4,43.726466,-79.445593,5.82,urban,Early,0,0,0,0,0,0,0,0,0
AS040,40,Toronto,5,43.726466,-79.445593,5.82,urban,Early,0,0,15,0,0,0,0,0,0
AS040,40,Toronto,1,43.726466,-79.445593,5.82,urban,Late,0,0,0,0,0,0,0,0,1
AS040,40,Toronto,2,43.726466,-79.445593,5.82,urban,Late,0,0,0,0,0,0,0,0,0
AS040,40,Toronto,3,43.726466,-79.445593,5.82,urban,Late,0,0,1,0,0,0,0,0,1
AS040,40,Toronto,4,43.726466,-79.445593,5.82,urban,Late,0,0,0,0,0,0,0,0,1
AS040,40,Toronto,5,43.726466,-79.445593,5.82,urban,Late,1,0,0,0,0,0,0,0,0
AS041,41,Toronto,1,43.713472,-79.463271,5.7,urban,Early,1,0,0,0,0,0,0,0,0
AS041,41,Toronto,2,43.713472,-79.463271,5.7,urban,Early,1,0,0,0,0,0,0,0,0
AS041,41,Toronto,3,43.713472,-79.463271,5.7,urban,Early,0,0,0,0,0,0,0,0,0
AS041,41,Toronto,4,43.713472,-79.463271,5.7,urban,Early,0,0,0,0,0,0,0,0,0
AS041,41,Toronto,5,43.713472,-79.463271,5.7,urban,Early,0,0,0,0,0,0,0,0,0
AS041,41,Toronto,1,43.713472,-79.463271,5.7,urban,Late,2,0,0,0,0,0,0,0,0
AS041,41,Toronto,2,43.713472,-79.463271,5.7,urban,Late,1,0,0,0,0,0,0,0,0
AS041,41,Toronto,3,43.713472,-79.463271,5.7,urban,Late,0,0,0,0,0,0,0,0,0
AS041,41,Toronto,4,43.713472,-79.463271,5.7,urban,Late,1,0,0,0,0,0,0,0,0
AS041,41,Toronto,5,43.713472,-79.463271,5.7,urban,Late,0,0,0,0,0,0,0,0,0
AS042,42,Toronto,1,43.713584,-79.475768,6.17,urban,Early,0,0,0,0,0,0,0,0,0
AS042,42,Toronto,2,43.713584,-79.475768,6.17,urban,Early,0,0,0,0,0,0,0,0,0
AS042,42,Toronto,3,43.713584,-79.475768,6.17,urban,Early,0,0,0,0,0,0,0,0,0
AS042,42,Toronto,4,43.713584,-79.475768,6.17,urban,Early,0,0,0,0,0,0,0,0,0
AS042,42,Toronto,5,43.713584,-79.475768,6.17,urban,Early,0,0,0,0,0,0,0,0,0
AS042,42,Toronto,1,43.713584,-79.475768,6.17,urban,Late,0,0,0,0,0,0,0,0,3
AS042,42,Toronto,2,43.713584,-79.475768,6.17,urban,Late,0,0,0,0,0,0,0,0,2
AS042,42,Toronto,3,43.713584,-79.475768,6.17,urban,Late,0,0,0,0,0,0,0,0,2
AS042,42,Toronto,4,43.713584,-79.475768,6.17,urban,Late,0,0,0,0,0,0,0,0,0
AS042,42,Toronto,5,43.713584,-79.475768,6.17,urban,Late,0,0,0,0,0,0,0,0,1
AS043,43,Toronto,1,43.71387,-79.505919,7.4,urban,Early,0,0,0,0,0,0,0,0,0
